                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75633,                0.48273,                0.89069,                0.90283,                0.96129,                0.97794,                0.74791,                0.89274,                0.60152,                0.98303,              0.0006536,              0.0006536,              0.0006536
                     37,                0.75883,                0.51374,                0.92953,                0.90283,                0.96129,                0.97794,                0.74791,                0.89274,                0.60152,                0.98303,               0.000614,               0.000614,               0.000614
                     38,                0.75798,                0.52292,                0.93642,                0.90288,                0.96187,                0.97808,                 0.7141,                0.94667,                0.59171,                 1.0042,              0.0005744,              0.0005744,              0.0005744
                     39,                0.73246,                0.48056,                0.90632,                0.90031,                0.96552,                0.98467,                0.74752,                0.92062,                0.52337,                 1.0016,              0.0005348,              0.0005348,              0.0005348
                     40,                0.73174,                 0.4962,                0.89406,                      1,                0.91956,                0.98859,                0.75496,                0.88122,                0.50817,                0.99509,              0.0004952,              0.0004952,              0.0004952
                     41,                0.76546,                0.58914,                 0.9239,                      1,                0.91956,                0.98859,                0.75496,                0.88122,                0.50817,                0.99509,              0.0004556,              0.0004556,              0.0004556
                     42,                0.75529,                0.54371,                0.89736,                0.96529,                0.95923,                0.98955,                 0.7705,                 0.8581,                0.50682,                0.99832,               0.000416,               0.000416,               0.000416
                     43,                0.76422,                0.53429,                0.93454,                0.96491,                0.96552,                0.98955,                 0.7685,                0.86548,                0.51061,                  1.011,              0.0003764,              0.0003764,              0.0003764
                     44,                0.76273,                0.54516,                0.95401,                0.96548,                0.96456,                0.98874,                0.76702,                0.86735,                0.50591,                 1.0269,              0.0003368,              0.0003368,              0.0003368
                     45,                0.74392,                0.45999,                0.90589,                0.96548,                0.96456,                0.98874,                0.76702,                0.86735,                0.50591,                 1.0269,              0.0002972,              0.0002972,              0.0002972
                     46,                0.74896,                0.50731,                0.91444,                0.93169,                      1,                0.98962,                0.78105,                0.85573,                0.48726,                 1.0252,              0.0002576,              0.0002576,              0.0002576
                     47,                0.67517,                0.44798,                0.85846,                0.96627,                0.98825,                  0.986,                0.77987,                0.84559,                0.50077,                 1.0215,               0.000218,               0.000218,               0.000218
                     48,                0.67949,                0.47286,                0.86412,                0.96657,                0.99705,                0.98267,                0.78544,                0.85776,                 0.5039,                 1.0197,              0.0001784,              0.0001784,              0.0001784
                     49,                0.65213,                0.43489,                0.89506,                0.96657,                0.99705,                0.98267,                0.78544,                0.85776,                 0.5039,                 1.0197,              0.0001388,              0.0001388,              0.0001388
                     50,                0.67472,                0.43344,                0.88731,                0.95524,                      1,                0.98133,                 0.7807,                0.85444,                0.49503,                 1.0162,               9.92e-05,               9.92e-05,               9.92e-05
